"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2004","ALABAMA","AL","FRANKLIN","01059","US PRESIDENT","OTHER","OTHER","65","12269","20250821","TOTAL"
"2004","ALABAMA","AL","GENEVA","01061","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","8342","10520","20250821","TOTAL"
"2004","ALABAMA","AL","GENEVA","01061","US PRESIDENT","JOHN KERRY","DEMOCRAT","2113","10520","20250821","TOTAL"
"2004","ALABAMA","AL","GENEVA","01061","US PRESIDENT","OTHER","OTHER","65","10520","20250821","TOTAL"
"2004","ALABAMA","AL","GREENE","01063","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","958","4748","20250821","TOTAL"
"2004","ALABAMA","AL","GREENE","01063","US PRESIDENT","JOHN KERRY","DEMOCRAT","3764","4748","20250821","TOTAL"
"2004","ALABAMA","AL","GREENE","01063","US PRESIDENT","OTHER","OTHER","26","4748","20250821","TOTAL"
"2004","ALABAMA","AL","HALE","01065","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3281","7945","20250821","TOTAL"
"2004","ALABAMA","AL","HALE","01065","US PRESIDENT","JOHN KERRY","DEMOCRAT","4631","7945","20250821","TOTAL"
"2004","ALABAMA","AL","HALE","01065","US PRESIDENT","OTHER","OTHER","33","7945","20250821","TOTAL"
"2004","ALABAMA","AL","HENRY","01067","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4881","7361","20250821","TOTAL"
"2004","ALABAMA","AL","HENRY","01067","US PRESIDENT","JOHN KERRY","DEMOCRAT","2452","7361","20250821","TOTAL"
"2004","ALABAMA","AL","HENRY","01067","US PRESIDENT","OTHER","OTHER","28","7361","20250821","TOTAL"
"2004","ALABAMA","AL","HOUSTON","01069","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","26874","36201","20250821","TOTAL"
"2004","ALABAMA","AL","HOUSTON","01069","US PRESIDENT","JOHN KERRY","DEMOCRAT","9144","36201","20250821","TOTAL"
"2004","ALABAMA","AL","HOUSTON","01069","US PRESIDENT","OTHER","OTHER","183","36201","20250821","TOTAL"
"2004","ALABAMA","AL","JACKSON","01071","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","11534","20321","20250821","TOTAL"
"2004","ALABAMA","AL","JACKSON","01071","US PRESIDENT","JOHN KERRY","DEMOCRAT","8635","20321","20250821","TOTAL"
"2004","ALABAMA","AL","JACKSON","01071","US PRESIDENT","OTHER","OTHER","152","20321","20250821","TOTAL"
"2004","ALABAMA","AL","JEFFERSON","01073","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","158680","292967","20250821","TOTAL"
"2004","ALABAMA","AL","JEFFERSON","01073","US PRESIDENT","JOHN KERRY","DEMOCRAT","132286","292967","20250821","TOTAL"
"2004","ALABAMA","AL","JEFFERSON","01073","US PRESIDENT","OTHER","OTHER","2001","292967","20250821","TOTAL"
"2004","ALABAMA","AL","LAMAR","01075","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4894","6885","20250821","TOTAL"
"2004","ALABAMA","AL","LAMAR","01075","US PRESIDENT","JOHN KERRY","DEMOCRAT","1956","6885","20250821","TOTAL"
"2004","ALABAMA","AL","LAMAR","01075","US PRESIDENT","OTHER","OTHER","35","6885","20250821","TOTAL"
"2004","ALABAMA","AL","LAUDERDALE","01077","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","22161","37107","20250821","TOTAL"
"2004","ALABAMA","AL","LAUDERDALE","01077","US PRESIDENT","JOHN KERRY","DEMOCRAT","14628","37107","20250821","TOTAL"
"2004","ALABAMA","AL","LAUDERDALE","01077","US PRESIDENT","OTHER","OTHER","318","37107","20250821","TOTAL"
"2004","ALABAMA","AL","LAWRENCE","01079","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","7730","14001","20250821","TOTAL"
"2004","ALABAMA","AL","LAWRENCE","01079","US PRESIDENT","JOHN KERRY","DEMOCRAT","6155","14001","20250821","TOTAL"
"2004","ALABAMA","AL","LAWRENCE","01079","US PRESIDENT","OTHER","OTHER","116","14001","20250821","TOTAL"
"2004","ALABAMA","AL","LEE","01081","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","27972","44610","20250821","TOTAL"
"2004","ALABAMA","AL","LEE","01081","US PRESIDENT","JOHN KERRY","DEMOCRAT","16227","44610","20250821","TOTAL"
"2004","ALABAMA","AL","LEE","01081","US PRESIDENT","OTHER","OTHER","411","44610","20250821","TOTAL"
"2004","ALABAMA","AL","LIMESTONE","01083","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","19702","29073","20250821","TOTAL"
"2004","ALABAMA","AL","LIMESTONE","01083","US PRESIDENT","JOHN KERRY","DEMOCRAT","9126","29073","20250821","TOTAL"
"2004","ALABAMA","AL","LIMESTONE","01083","US PRESIDENT","OTHER","OTHER","245","29073","20250821","TOTAL"
"2004","ALABAMA","AL","LOWNDES","01085","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1786","6021","20250821","TOTAL"
"2004","ALABAMA","AL","LOWNDES","01085","US PRESIDENT","JOHN KERRY","DEMOCRAT","4233","6021","20250821","TOTAL"
"2004","ALABAMA","AL","LOWNDES","01085","US PRESIDENT","OTHER","OTHER","2","6021","20250821","TOTAL"
"2004","ALABAMA","AL","MACON","01087","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1570","9407","20250821","TOTAL"
"2004","ALABAMA","AL","MACON","01087","US PRESIDENT","JOHN KERRY","DEMOCRAT","7800","9407","20250821","TOTAL"
"2004","ALABAMA","AL","MACON","01087","US PRESIDENT","OTHER","OTHER","37","9407","20250821","TOTAL"
"2004","ALABAMA","AL","MADISON","01089","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","77173","131062","20250821","TOTAL"
"2004","ALABAMA","AL","MADISON","01089","US PRESIDENT","JOHN KERRY","DEMOCRAT","52644","131062","20250821","TOTAL"
"2004","ALABAMA","AL","MADISON","01089","US PRESIDENT","OTHER","OTHER","1245","131062","20250821","TOTAL"
"2004","ALABAMA","AL","MARENGO","01091","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5255","10322","20250821","TOTAL"
"2004","ALABAMA","AL","MARENGO","01091","US PRESIDENT","JOHN KERRY","DEMOCRAT","5037","10322","20250821","TOTAL"
"2004","ALABAMA","AL","MARENGO","01091","US PRESIDENT","OTHER","OTHER","30","10322","20250821","TOTAL"
"2004","ALABAMA","AL","MARION","01093","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","8983","12875","20250821","TOTAL"
"2004","ALABAMA","AL","MARION","01093","US PRESIDENT","JOHN KERRY","DEMOCRAT","3808","12875","20250821","TOTAL"
"2004","ALABAMA","AL","MARION","01093","US PRESIDENT","OTHER","OTHER","84","12875","20250821","TOTAL"
"2004","ALABAMA","AL","MARSHALL","01095","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","22783","31491","20250821","TOTAL"
"2004","ALABAMA","AL","MARSHALL","01095","US PRESIDENT","JOHN KERRY","DEMOCRAT","8452","31491","20250821","TOTAL"
"2004","ALABAMA","AL","MARSHALL","01095","US PRESIDENT","OTHER","OTHER","256","31491","20250821","TOTAL"
"2004","ALABAMA","AL","MOBILE","01097","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","92014","156771","20250821","TOTAL"
"2004","ALABAMA","AL","MOBILE","01097","US PRESIDENT","JOHN KERRY","DEMOCRAT","63732","156771","20250821","TOTAL"
"2004","ALABAMA","AL","MOBILE","01097","US PRESIDENT","OTHER","OTHER","1025","156771","20250821","TOTAL"
"2004","ALABAMA","AL","MONROE","01099","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5831","9534","20250821","TOTAL"
"2004","ALABAMA","AL","MONROE","01099","US PRESIDENT","JOHN KERRY","DEMOCRAT","3666","9534","20250821","TOTAL"
"2004","ALABAMA","AL","MONROE","01099","US PRESIDENT","OTHER","OTHER","37","9534","20250821","TOTAL"
"2004","ALABAMA","AL","MONTGOMERY","01101","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","44097","89650","20250821","TOTAL"
"2004","ALABAMA","AL","MONTGOMERY","01101","US PRESIDENT","JOHN KERRY","DEMOCRAT","45160","89650","20250821","TOTAL"
"2004","ALABAMA","AL","MONTGOMERY","01101","US PRESIDENT","OTHER","OTHER","393","89650","20250821","TOTAL"
"2004","ALABAMA","AL","MORGAN","01103","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","32477","47007","20250821","TOTAL"
"2004","ALABAMA","AL","MORGAN","01103","US PRESIDENT","JOHN KERRY","DEMOCRAT","14131","47007","20250821","TOTAL"
"2004","ALABAMA","AL","MORGAN","01103","US PRESIDENT","OTHER","OTHER","399","47007","20250821","TOTAL"
"2004","ALABAMA","AL","PERRY","01105","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1738","5523","20250821","TOTAL"
"2004","ALABAMA","AL","PERRY","01105","US PRESIDENT","JOHN KERRY","DEMOCRAT","3767","5523","20250821","TOTAL"
"2004","ALABAMA","AL","PERRY","01105","US PRESIDENT","OTHER","OTHER","18","5523","20250821","TOTAL"
"2004","ALABAMA","AL","PICKENS","01107","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5170","9132","20250821","TOTAL"
"2004","ALABAMA","AL","PICKENS","01107","US PRESIDENT","JOHN KERRY","DEMOCRAT","3915","9132","20250821","TOTAL"
"2004","ALABAMA","AL","PICKENS","01107","US PRESIDENT","OTHER","OTHER","47","9132","20250821","TOTAL"
